Full Ref,Ref,%White,Cohort1,Cohort2,Cohort,Design1,Design2,Individuals,% White,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Trait/disorder,Broad Trait/disorder,NDD/DICC,Binary/Continuous,Categorical/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Design,Sex,Categorical/Continuous,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,rA,rA/rG_SE,rC,rC_SE,rE,rE_SE,Model
"Nadder, T. S., Silberg, J. L., Eaves, L. J., Maes, H. H., & Meyer, J. M. (1998). Genetic effects on ADHD symptomatology in 7-to 13-year-old twins: Results from a telephone survey. Behavior Genetics, 28(2), 83-99. ","Nadder, Silberg, Eaves, Maes & Meyer (1998)",100,VTSABD,,VTSABD,Twin study,Classical,1800,,,7-13y,Childhood & Adolescence,USA,Virginia,ADHD & DICC,ADHD & DICC,DICC,Continuous,Continuous,CAPA,,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,ADHD & CD/ODD,ADHD & DICC,ADHD Traits & DICC Traits,0.5,0.03,0.11,0.03,0.39,0.03,FULL
"Oliver, B. R., Dale, P. S., & Plomin, R. (2007). Writing and reading skills as assessed by teachers in 7-year olds: A behavioral genetic approach. Cognitive Development, 22(1), 77-95. ","Oliver, Dale & Plomin (2007)",92,TEDS,,TEDS,Twin study,Classical,6592,,7.17,7-8y,Childhood & Middle childhood,UK,,Dyslexia & Dysgraphia,SLD & SLD,NDD,Continuous,Continuous,UK National Curriculum,Dysgraphia,,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,Reading & Writing,Reading Ability & Writing Ability,Reading Ability & Writing Ability,0.83,0.02,0.99,0.06,0.37,0.02,FULL
"Ooki, S. (2005). Genetic and environmental influences on stuttering and tics in Japanese twin children. Twin Research and Human Genetics, 8(1), 69-75. ",Ooki (2005),No data,Twin study in Japan,,Twin study in Japan,Twin study,Multifactorial threshold model,3792,,11.6,3-15y,Childhood & Adolescence,Japan,,Stuttering & TIC,CMD & MD,NDD,Categorical,Categorical,Japanese twin study questionnaires,,,,,,,,Parent,,Not used,,,Family,Combined,Categorical,Stuttering & TIC,Stuttering & TIC,Stuttering & TIC,0.32,0.03,,,,,Aonly
"Tosto, M. G., Hayiou-Thomas, M. E., Harlaar, N., Prom-Wormley, E., Dale, P. S., & Plomin, R. (2017). The genetic architecture of oral language, reading fluency, and reading comprehension: A twin study from 7 to 16 years. Developmental Psychology, 53(6), 1115. ",Tosto et al. (2017),No data,TEDS,,TEDS,Twin study,Classical,41532,,,7y,Childhood,UK,,Dyslexia & SLI,CMD & SLD,NDD,Continuous,Continuous,WISC,TOWRE,Continuous,WISC,,,,,,,Age,Sex,,Family,Combined,Continuous,Reading fluency & Language,Reading Fluency & Language Ability,Language Ability & Reading Ability,0.47,0.05,0.79,0.1,0.09,0.03,FULL
"Tosto, M. G., Hayiou-Thomas, M. E., Harlaar, N., Prom-Wormley, E., Dale, P. S., & Plomin, R. (2017). The genetic architecture of oral language, reading fluency, and reading comprehension: A twin study from 7 to 16 years. Developmental Psychology, 53(6), 1115. ",Tosto et al. (2017),No data,TEDS,,TEDS,Twin study,Classical,41532,,,12y,Adolescence,UK,,Dyslexia & SLI,CMD & SLD,NDD,Continuous,Continuous,WISC,Test of Language Competence,TOAL,TOWRE,Woodcock-Johnson III Reading Fluency test,,,,,,Age,Sex,,Family,Combined,Continuous,Reading fluency & Language,Reading Fluency & Language Ability,Language Ability & Reading Ability,0.46,0.03,0.93,0.09,0.14,0.02,FULL
"Tosto, M. G., Hayiou-Thomas, M. E., Harlaar, N., Prom-Wormley, E., Dale, P. S., & Plomin, R. (2017). The genetic architecture of oral language, reading fluency, and reading comprehension: A twin study from 7 to 16 years. Developmental Psychology, 53(6), 1115. ",Tosto et al. (2017),No data,TEDS,,TEDS,Twin study,Classical,41532,,,12y,Adolescence,UK,,Dyslexia & SLI,CMD & SLD,NDD,Continuous,Continuous,WISC,Test of Language Competence,TOAL,TOWRE,Woodcock-Johnson III Reading Fluency test,,,,,,Age,Sex,,Family,Combined,Continuous,Reading comprehension & Language,Reading Comprehension & Language Ability,Language Ability & Reading Ability,0.81,0.04,0.95,0.05,0.21,0.02,FULL
"Tosto, M. G., Hayiou-Thomas, M. E., Harlaar, N., Prom-Wormley, E., Dale, P. S., & Plomin, R. (2017). The genetic architecture of oral language, reading fluency, and reading comprehension: A twin study from 7 to 16 years. Developmental Psychology, 53(6), 1115. ",Tosto et al. (2017),No data,TEDS,,TEDS,Twin study,Classical,41532,,,16y,Adolescence,UK,,Dyslexia & SLI,CMD & SLD,NDD,Continuous,Continuous,WISC,Test of Language Competence,TOAL,TOWRE,Woodcock-Johnson III Reading Fluency test,,,,,,Age,Sex,,Family,Combined,Continuous,Reading fluency & Language,Reading Fluency & Language Ability,Language Ability & Reading Ability,0.58,0.05,0.99,0.5,0.07,0.03,FULL
"Tosto, M. G., Hayiou-Thomas, M. E., Harlaar, N., Prom-Wormley, E., Dale, P. S., & Plomin, R. (2017). The genetic architecture of oral language, reading fluency, and reading comprehension: A twin study from 7 to 16 years. Developmental Psychology, 53(6), 1115. ",Tosto et al. (2017),No data,TEDS,,TEDS,Twin study,Classical,41532,,,16y,Adolescence,UK,,Dyslexia & SLI,CMD & SLD,NDD,Continuous,Continuous,WISC,C-SSAGA,TOAL,TOWRE,Woodcock-Johnson III Reading Fluency test,,,,,,Age,Sex,,Family,Combined,Continuous,Reading comprehension & Language,Reading Comprehension & Language Ability,Language Ability & Reading Ability,0.87,0.05,0.99,0.5,0.21,0.16,FULL
"Coolidge, F. L., Thede, L. L., & Young, S. E. (2000). Heritability and the comorbidity of attention deficit hyperactivity disorder with behavioral disorders and executive function deficits: A preliminary investigation. Developmental neuropsychology, 17(3), 273-287. ","Coolidge, Thede & Toung (2000)",90,Twin study in Colorado,,Twin study in Colorado,Twin study,Classical,224,White (82%),8.7,,Middle childhood,USA,Colorado,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,The Coolidge Personality and Neuropsychological Inventory for Children,,,,,,,,Parent,,Sex,,,Family,Combined,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.56,0.07,,,,,BEST
"Coolidge, F. L., Thede, L. L., & Young, S. E. (2000). Heritability and the comorbidity of attention deficit hyperactivity disorder with behavioral disorders and executive function deficits: A preliminary investigation. Developmental neuropsychology, 17(3), 273-287. ","Coolidge, Thede & Toung (2000)",90,Twin study in Colorado,,Twin study in Colorado,Twin study,Classical,224,White (82%),8.7,,Middle childhood,USA,Colorado,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,The Coolidge Personality and Neuropsychological Inventory for Children,,,,,,,,Parent,,Sex,,,Family,Combined,Continuous,ADHD & ODD,ADHD & ODD,ADHD Traits & ODD Traits,0.83,0.03,,,,,BEST
,,,,,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,,,.,.,,,,,,,,,
